"","model","method","parm_names","parm_values","eps","ss"
"69","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.564801378005718,23.7014897943917,25
"70","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.5525,23.7014897943917,25
"71","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",396.655295567956,23.7014897943917,25
"72","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",213.038042105972,23.7014897943917,25
"73","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.81278072978325,23.7014897943917,25
"74","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.12935350158528,23.7014897943917,25
"75","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,23.7014897943917,25
"76","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.4412,23.7014897943917,25
"77","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.58282091968454,23.7014897943917,25
"78","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.8113,23.7014897943917,25
"79","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",276.587344199814,23.7014897943917,25
"80","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",228.314571612564,23.7014897943917,25
"81","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.505077359543559,30.1445438042379,50
"82","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.50829590028063,30.1445438042379,50
"83","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,30.1445438042379,50
"84","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.6088,30.1445438042379,50
"85","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.520097313783039,30.1445438042379,50
"86","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.5074,30.1445438042379,50
"87","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",415.981010376578,30.1445438042379,50
"88","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",197.46431306335,30.1445438042379,50
"89","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.471675703391934,30.1445438042379,50
"90","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.57526910585605,30.1445438042379,50
"91","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,30.1445438042379,50
"92","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.6263,30.1445438042379,50
"93","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.539240798455031,30.1445438042379,50
"94","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.4702,30.1445438042379,50
"95","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",431.127932503705,30.1445438042379,50
"96","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",202.488073476814,30.1445438042379,50
"97","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.339378067172983,36.69279646234,100
